Title,Mission,Mission,Program Description,Type of service,Other type of service,"Headquarter Location (City, State)",States of Operation,Website Address,Organization Type,Year Started,Subject Offered,Other subjects,Grade Levels,Languages Offered,Other languages,Type of Tutor,Other tutor type,Delivery Mode,Percentage of tutors who can speak a language other than English,Race/Ethnicity breakdown of tutors,Most recent number of students served,Number of Minutes Per Session,Number of Sessions Per Week,Number of Weeks Per Program,Student-Tutor Ratio,Student/Tutor Ratio Per Program,Setting,Family Engagement,Family Engagement Description,Randomized controlled trial (RCT) study conducted?,RCT Citation,RCT effect size,Quasi-experimental (QED) study conducted?,QED citation,QED effect size,Customer Type,Cost to District/ School/ Non-Profit ,Cost to Student ,Contact
Reading Partners,,Help children become lifelong readers by empowering communities to provide individualized instruction with measurable results.,"Evidence-based program that recruits, trains, and supports community volunteers to provide individualized reading instruction to K-4 students",Tutoring Program,,"Oakland, CA","California, Colorado, Maryland, Minnesota, New York, Oklahoma, South Carolina, Texas, Washington, Washington DC",http://www.readingpartners.org,Nonprofit,1999,Reading,,"Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade",English,,Volunteer,,"In-Person, Virtual",,"""American Indian/Alaska Native: 1%  Asian: 13%  Black or African American: 10%  Hispanic or Latinx: 7%  Native Hawaiian/Other Pacific Islander: 0%  White: 64%  Other race: 1%  Two or more races: 4%  """,11000,45,2,30 sessions total,1:01,,"During School, Out of School",,"Family texting, student learning packets, family literacy resources and tips to use at home, family engagement workshops, family and community advisory groups to provide input into programming improvements",Yes,Mobilizing Volunteers Tutors to Improve Student Literacy (RCT by MDRC),0.1,Yes,Mile High United Way Social Innovation Fund evaluation of Reading Partners (QED by APA),0.14,"District, School","Cost varies by region. Typically $25,000 per reading center for up to 60 students.",Free,
Saga Education,"Saga Education serves historically under-served young people through personalized, consistent, caring and best-in-the-world tutorials that result in youth gaining confidence and academic strength so that they see, pursue and realize their grandest dreams.","Saga Education serves historically under-served young people through personalized, consistent, caring and best-in-the-world tutorials that result in youth gaining confidence and academic strength so that they see, pursue and realize their grandest dreams.","Saga embeds algebra (or geometry) math tutors as a class within the school day. Our tutor teams can serve 20-40 students per period, and the tutors can work in person or online. Tutors work in ratios of 1:2 to 1:4, and we offer four models.",Tutoring Program,,"Newton, Massachusetts","Florida, Massachusetts, New York, Washington DC",www.sagaeducation.org,Nonprofit,2014,"Math, Other",Focus on Algebra I,"9th Grade, 10th Grade",English,,,,"Blended, In-Person, Virtual",,,5000,40-60,5,,"2:1 (Saga Traditional), 3:1 (Saga Online), 4:1 (Saga Blended)",,During School,,"Our tutors contact homes at least monthly to build strong family relationships, and we share information with school teachers and admin to support our students.",Yes,https://www.nber.org/papers/w28531,,No,,,School,"Cost is per student depending on number of students, dosage, Americorps subsidy and philanthropy.",Free,
SPARK Early Literacy Tutors (Service Year),"Service Year Alliance is working to make a year of paid, full-time service — a service year — a common expectation and opportunity for all young Americans.","Service Year Alliance is working to make a year of paid, full-time service — a service year — a common expectation and opportunity for all young Americans.","SPARK Early Literacy provides in-school tutoring, family engagement, and opportunities to attend after-school activities to all students in high-poverty schools, not just to low achievers. SPARK Early Literacy tutors work with K5-3rd grade struggling readers, using a set lesson plan and program materials.","Tutoring Program, Academic Intervention",,"Milwaukee, Wisconsin",Wisconsin,https://serviceyear.org/boysgirlsclubs/spark-early-literacy-tutor/,Nonprofit,2006,Reading,,"Kindergarten, 1st Grade, 2nd Grade, 3rd Grade",English,,Paraprofessional,,"In-Person, Virtual",,"Black or African American 50%, White 50%",,30,3,,1:01,,During School,,"To execute the family engagement component, each site has a parent partner who works with participating studentsâ€™ families.",Yes,https://www.nationalservice.gov/sites/default/files/evidenceexchange/FR…,Mean effect size of +0.51,No,,,"Nonprofit, School",Free,Free,
Tutoring with the Lightning Squad,,,"Tutoring with the Lightning Squad is a peer-supported, web-based, interactive multimedia tutoring model. Developed by Sirius Thinking, Ltd., and the Success for All Foundation in collaboration with Sesame Workshop, the program is designed to enable struggling readers in Grades 1-3 to achieve grade-level literacy proficiency by developing skills in fluency, phonics, word blending, spelling, vocabulary and comprehension through a series of game-like cooperative activities.","Tutoring Program, Technology Platform",,"Baltimore, MD",,http://www.successforall.org/our-approach/targeted-programs/tutoring-with-the-l…,Nonprofit,2015,Reading,,"1st Grade, 2nd Grade, 3rd Grade",English,,Paraprofessional,,"In-Person, Virtual",,,,,,,6:01,,During School,,,Yes,https://www.tandfonline.com/doi/full/10.1080/10573569.2016.1255577,,,,,School,,,
Aggie Homework Helpline (AHH),,The mission of the AHH is to connect Texas families and school district partners with Aggie tutors and education interns who are committed to improving learning outcomes for PK-12 students.,"The Aggie Homework Helpline (AHH) is an initiative to help provide quality, free online tutoring to PK-12 learners and families.",Tutoring Program,,"College Station, Texas",Texas,https://education.tamu.edu/aggie-homework-helpline/,Nonprofit,,,,"Pre-Kindergarten, Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade, 9th Grade, 10th Grade, 11th Grade, 12th Grade",,,,,,,,,,,,,,,,,,,,,,,,,,aghomeworkhelpline@tamu.edu
America Reads America Counts,,,"Tutors encourage students in the subject areas of Reading and Mathematics, and support children in their school development. Tutors work directly with kindergarten through sixth grade students to improve their reading and math proficiency skills. Tutors perform one-on-one work with individual students, group work, or class activities.",Tutoring Program,,"Santa Barbara, California",,https://americareads.as.ucsb.edu/,,,"Math, Reading",,"Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade",,,Tutoring staff,,"In-Person, Virtual",,,,,,,"1:1, group, or class activities",,"During School, Out of School",,,,,,,,,,,,
Amplify,,,"At Amplify, we believe all teachers and students deserve high-quality materials. At Amplify, we strive to engage all students deeply with challenging content while also providing teachers with powerful tools that help them understand and respond to the needs of every student.",Tutoring Program,,,,https://amplify.com/,,,"English Language Arts (ELA), Early Literacy, Math, Reading, Science, Other",All,"Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade",,,,,,,,,,,,,,,,,,,,,,,,,,
Augustine Literacy Project,,"Our mission is to improve the reading, writing and spelling skills of low-income students who struggle with literacy by providing free, long-term one-on-one instruction from highly trained volunteer tutors.","The Augustine Literacy Project-Charlotte works to improve the reading, spelling and writing skills of low income children who struggle with literacy.",Tutoring Program,,"Charlotte, North Carolina",North Carolina,https://alpcharlotte.org/,Nonprofit,1994,Early Literacy,,"1st Grade, 2nd Grade, 3rd Grade",,,,,In-Person,,,,Long Term,Twice a week,,1:01,,During School,,,,,,,,,School,,Free,"Alison S. Houser, Executive Director, ahouser@alpcharlotte.org"
Breakthrough Collaborative,,"Breakthrough Collaborative works with highly motivated, traditionally underrepresented students to achieve post-secondary success and empowers aspiring leaders to become the next generation of educators and advocates.",6-year cohort providing summer and after school tutoring (homework help) and college guidance through middle and high school.,"Tutoring Program, Other",,"Oakland, California","Alabama, California, Colorado, Connecticut, Florida, Georgia, Louisiana, Massachusetts, Minnesota, New Hampshire, New York, Ohio, Pennsylvania, Rhode Island",http://www.breakthroughcollaborative.org,Nonprofit,1978,"English Language Arts (ELA), Early Literacy, Math, Reading, Science, Other",,"6th Grade, 7th Grade, 8th Grade, 9th Grade, 10th Grade, 11th Grade, 12th Grade",,,,,In-Person,,,,,Varies,,Small group,,Out of School,,,,,,,,,Student,,Free,
Bullis Student Tutors,,"Selective student organization connecting high school tutors with K-12 students. Tutors provide in-person 1:1 support During-School's Academic Center, and also create YouTube videos explaining common concepts and content.","Selective student organization connecting high school tutors with K-12 students. Tutors provide in-person 1:1 support During-School's Academic Center, and also create YouTube videos explaining common concepts and content.","Tutoring Program, Academic Intervention, Other","Classroom-based learning, study hall, for upper school also individualized meetings with grade-level learning specialists.",,,https://www.bullis.org/page.cfm?p=667,Nonprofit,,"English Language Arts (ELA), Early Literacy, Math, Reading, Science, Social Studies, Other",All,"Pre-Kindergarten, Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade, 9th Grade, 10th Grade, 11th Grade, 12th Grade, Post secondary",,,,,In-Person,,,50,,,,"Small group for lower and middle school, 1:1 for upper",,During School,,,,,,,,,Student,,,"Catherin Austin, Co-Director of Learning Support Services, catherine_austin@bullis.org"
CLASE Tutoring and Mentor Program,,,,"Tutoring Program, Other",Mentoring Program,"Athens, Georgia",,,Nonprofit,,"English Language Arts (ELA), Early Literacy, Math, Reading, Science, Social Studies, Other",All,"3rd Grade, 4th Grade, 5th Grade",,,,,In-Person,,,,,,,"1:1 or small groups, depends on needs",,During School,,,,,,,,,,,,"Paula Mellom, pjmellom@uga.edu"
Community of Volunteer Educators (COVE),,Our vision is to support communities by developing innovative academic programming to reduce educational inequities exacerbated by the COVID-19 pandemic.,The Community of Volunteer Educators (COVE) is a volunteer-run public service organization dedicated to providing tutoring services and educational enrichment experiences to communities in need across NYC.,"Tutoring Program, Other",Educational Enrichment,"New York, New York",,https://www.coveducators.org/,Nonprofit,,"Math, Science, Other","Social Studies, Foreign Language, and more.","Pre-Kindergarten, Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade, 9th Grade, 10th Grade, 11th Grade, 12th Grade",,,,,Virtual,,,,,,,Differnet programs: some 1:1 some group,,,,,,,,,,,,,,
Crossroads Education: Learning Commons,,We aim to improve learning outcomes for all students by advancing innovation in education across the United States.,The Learning Commons is a working space installed in high schools that trains and pays students to tutor their peers in math.,Tutoring Program,"Learning Commons space, also uses Nexus, virtual whiteboard, included in every Learning Commons.","Indianapolis, IN",Indiana,www.crossroadseducation.org,Nonprofit,2016,Math,,"Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade, 9th Grade, 10th Grade, 11th Grade, 12th Grade",English,,"Teacher, Tutoring Staff",,"Blended, In-Person, Virtual",,"65% African American, 35% White",300,,,,1:01,,"During School, Out of School",,Outreach through virtual connection and weekly emails.  Daily if necessary.,,,,,,,"Parent, School",Negotiated,None,
D65 Fluency Tutors: Kindergarten Learning Partners/Everybody reads,,,Program helps youngest learners develop a love of reading using classic picture books.,Tutoring Program,,"Evanston, Illionis",,https://www.northwestern.edu/lead-engage/community-engagement/connect-community…,Nonprofit,,Reading,,"Kindergarten, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade",,,,,In-Person,,,,,,,1:01,,During School,,,,,,,,,,,,
Diocese of Wheeling Schools,,Diocesan schools in West Virginia created tutoring programs to tackle students' remote learning challenges.,New partnership in light of covid between DWC and neighborhood schools.,Tutoring Program,,,,https://wheeling.edu/wu-news/diocesan-schools-in-west-virginia-create-tutoring-…,,2020,"Math, Reading",Specific school subjects for high school like Micro Economics and Org Chemistry,"Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade, 9th Grade, 10th Grade, 11th Grade, 12th Grade",,,,,Virtual,,,60,,,,1:01,,Out of School,,,,,,,,,Student,,,"Theresa DiPiero: Director of Curriculum and Instruction at Diocese of Wheeling-Charleston,"
Early Steps,,,"Early Steps is a first grade one-to-one tutoring model that is patterned on Reading Recovery. Early Steps employs a balanced approach to the teaching of reading, incorporating explicit instruction in phonemic awareness and phonics, as well as the reading experience activities favored by Reading Recovery. ES tutors work with students in reading new books at their instructional level, re-reading familiar texts, writing and learning problem-solving strategies that can be used to tackle difficult words.",Tutoring Program,,,,https://www.readingrockets.org/article/building-best-learning-what-works-early-…,,,,,1st Grade,,,,,,,,,,,,,,,,,,,,,,,,,,
FEV Tutor,,"FEV Tutor’s mission is to make high-quality, online learning options available to all students at all times.","1:1 tutoring in any subject, any grade in partnership with schools or districts or directly to student through families, available 24/7 with dosage, frequency and duration determined by goals set by student with teacher or family.",Tutoring Program,,,,https://www.fevtutor.com/,For Profit,2008,"English Language Arts (ELA), Early Literacy, Math, Reading, Science, Social Studies, Other",All,"Pre-Kindergarten, Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade, 9th Grade, 10th Grade, 11th Grade, 12th Grade, Post secondary",,,,,"In-Person, Virtual",,,,,,,1:01,,"During School, Out of School",,,,,,,,,School,,,"Anirudh Baheti, CEO, edu@fevtutor.com"
For the Children,,,"Within Tulanes center for Public Service, in-school tutoring program at 2 New Orleans underperforming public schools.",Tutoring Program,,"New Orleans, LA",,http://volunteer.handsonneworleans.org/agency/detail/?agency_id=83927,,,Reading,,,,,,,In-Person,,,800,,,,Varies,,During School,,,,,,,,,,,,
Heart Math Tutoring,,,Tutors work with elementary schools in Charlotte-Mecklenberg.,Tutoring Program,,"Charlotte, NC",,http://www.hearttutoring.org,Nonprofit,,Math,,,,,,,In-Person,,,,,,,1:01,,During School,,,,,,,,,,,,
High School Suport Initiative,,,"Connects Stanford students with high school students from historically marginalized local communities as tutors, mentors and academic supports.","Tutoring Program, Other","Mentoring, Academic support","Stanford, CA",,,Nonprofit,,"English Language Arts (ELA), Early Literacy, Math, Reading, Science, Social Studies, Other",All,"9th Grade, 10th Grade, 11th Grade, 12th Grade",,,,,"In-Person, Virtual",,,,,,,,,"During School, Out of School",,,,,,,,,,,,
Huntington Learning,,,"Huntington Learning provides individualized tutoring from certified teachers to build and enhance the skills needed for school success and help children get the best grades possible on quizzes, tests, and report cards.",Tutoring Program,,,,https://huntingtonhelps.com/tutoring/elementary/reading,For Profit,,,,,,,,,,,,,,,,1:01,,,,,,,,,,,,,,
Kappa Delta Pi,,,Offering free virtual tutoring sessions for K-12 students for all subjects.,Tutoring Program,,"Edwardsville, IL",,https://www.alestlelive.com/news/main_campus/article_cfc7252e-1284-11eb-834b-c3…,Nonprofit,2020,"English Language Arts (ELA), Early Literacy, Math, Reading, Science, Social Studies, Other",All,"Pre-Kindergarten, Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade, 9th Grade, 10th Grade, 11th Grade, 12th Grade, Post secondary",,,,,Virtual,,,,,,,1:01,,Out of School,,,,,,,,,"Parent, Student",,,barmart@siue.edu
Kumon,,,Series of 30-minute math worksheets that students complete at Kumon centers and at home.,Tutoring Program,,,,www.kumon.com,For Profit,,Math,,,,,,,In-Person,,,,,,,1:01,,Out of School,,,,,,,,,,,,
LEAP,,,"LEAP engages undergraduates in helping kindergarten through fourth grade students develop the language, literacy, math, and social skills necessary to succeed in school.",Tutoring Program,,"Rochester, NY",,https://www.rochester.edu/college/rccl/civic-engagement/leap/index.html,,,"English Language Arts (ELA), Early Literacy, Math, Reading, Science, Social Studies, Other",Languages,"Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade",,,,,In-Person,,,,,,,1:01,,Out of School,,,,,,,,,,,,
Maroon Tutor Match (Part of NSP),,,Affordable and effective 1:1 Tutoring for local K-12 students.,Tutoring Program,,"Chicago, Illinois",,https://nsp.uchicago.edu/tutor-match,Nonprofit,,"English Language Arts (ELA), Early Literacy, Math, Reading, Science, Social Studies, Other",all,"Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade, 9th Grade, 10th Grade, 11th Grade, 12th Grade",,,,,,,,388,,,,1:01,,,,,,,,,,,,,,","
Match Corps,,,"Students receive daily individual or group tutoring in additional to conventional instruction, extended school day.",Tutoring Program,,"Boston, MA",,http://www.matcheducation.org,Nonprofit,2004,"English Language Arts (ELA), Math",,,,,,,In-Person,,,1250,,,,1:1 or small group,,During School,,,,,,,,,,,,
Middle School Tutor,,,"Our tutors work one-on-one with fifth-, sixth-, seventh-, and eighth-grade students to help with homework completion at Buford Middle School and Walker Upper School. The tutors mainly motivate and encourage while also answering some questions regarding homework assignments.",Tutoring Program,,"Richmond, Virginia",,https://publicservice.virginia.edu/middle-school-tutor,Nonprofit,,,,"5th Grade, 6th Grade, 7th Grade, 8th Grade",,,,,In-Person,,,,,,,1:01,,Out of School,,,,,,,,,,,,
One-to-One Tutoring,,Provide individual academic support to elementary and middle school students.,Provides individual academic support to elementary and middle school students who live or attend school in 3 NY neighborhoods.,Tutoring Program,,"New York, New York",,https://one2onetutoring.wordpress.com/,,,"Math, Other","English, and effective study habits","Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade",,,,,"In-Person, Virtual",,,,,,,1:01,,Out of School,,,,,,,,,"School, Student",,,one2oneweekendtutoring@gmail.com
Pirate Math,,,tutoring program for remediating the calculation and word-problem deficits and for promoting the algebraic cognition of third-grade students at-risk or with identified math disability.,Tutoring Program,,,,https://charts.intensiveintervention.org/intervention/toolGRP/9b269358c646b982,,,Math,,,,,,,In-Person,,,,,,,,,Out of School,,,,,,,,,Student,,,
GO Project,,"Our mission is to shape the futures of low-income New York City public school children by providing critical academic, social, and emotional support starting in the early elementary years.",Saturday program with teacher-led lesson and small group instruction.,"Tutoring Program, Other","Professional development, social skills","New York, NY",,www.goprojectnyc.org,Nonprofit,1968,"English Language Arts (ELA), Early Literacy, Math, Reading, Science, Social Studies, Other",All,"Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade",,,,,In-Person,,,725,,,,Small group,,Out of School,,,,,,,,,"Parent, Student",,,"Andy DiBella, Chief Development Officer , adibella@goprojectnyc.org"
Project MORE,,"Help every student maximize reading potential, no matter their ability level.","Project MORE, Mentoring in Ohio for Reading Excellence, is a evidence based reading volunteer reading mentoring project for students with disabilities, that has demonstrated statistically significant reading results since 1999.",Tutoring Program,,Ohio,,https://www.ohioprojectmore.org/ProjectMore/Content2/about-us,Nonprofit,1999,"Reading, Other",Mentoring,,,,,,In-Person,,,4350,,,,1:01,,During School,,,,,,,,,"School, Student",,,"Sandy Maas: Administrative Assistant, project.more@putnamcountyesc.org"
"Read, Write and Type",,,"Our flagship software integrates phonics, reading, writing & keyboarding in a 40-lesson adventure linking each speech sound to a letter & finger stroke on the keyboard, as users pronounce, segment, type & spell hundreds of words!",Tutoring Program,,,,https://www.talkingfingers.com/read-write-type/,,,Reading,,,,,,,Virtual,,,,,,,,,Out of School,,,,,,,,,"School, Student",,,
Reading Recovery,,"Accelerate children's literacy learning, and to develop in them a love of reading and writing. All children deserve to reach their intellectual potential.",Short-term intervention for first graders in reading and writing. Specially trained teachers tutor 1:1 in daily 30-minute lessons lasting 12-20 weeks.,Tutoring Program,,,,https://readingrecovery.org/reading-recovery/,Nonprofit,,Reading,,"Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade, 9th Grade, 10th Grade, 11th Grade, 12th Grade",,,,,In-Person,,,,,,,1:01,,During School,,,,,,,,,,,,
Snapask,,The curriculum provides a high-quality solution for fulfilling these requirements for pupils aged 9-11 years.,Subscription service for college students to ask questions via phone app.,Tutoring Program,,,,www.snapask.com,For Profit,,"English Language Arts (ELA), Early Literacy, Math, Reading, Science, Social Studies, Other",All,,,,,,Virtual,,,,,,,1:01,,Out of School,,,,,,,,,,,,
SoFlo SAT Tutoring,,We are exceptional online SAT/ACT tutors and college counselors that develop a personalized strategy tailored to your child's strengths and weaknesses. We also offer free tutoring to those in need; money shouldn't stop someone from achieving their dreams.,We analyze your child's strengths and weaknesses through a free diagnostic test and then create a personalized strategy that will focus on their weak points and teach the tricks of the SAT/ACT.,"Tutoring Program, Technology Platform, Academic Intervention, Other",Online SAT/ACT Test Prep Tutoring,"Cooper City, Florida",Virtual,http://soflotutors.com/,For Profit,2019,"Math, Reading, Other","SAT Test Prep Tutoring, ACT Test Prep Tutoring","9th Grade, 10th Grade, 11th Grade, 12th Grade","Chinese, English, French, Spanish, Vietnamese, Other",,"Paraprofessional, Peer, Teacher, Tutoring Staff",,Virtual,50%,"Hispanic or Latino- 20%, American Indian or Alaska Native-5%, Asian- 20%, Black or African American 20%, White 35%",4000,60,2,12,1:01,,Out of School,,Weekly communication,,,,,,,"Parent, Student",,$60/hour,
SuccessMaker,,Step Up Tutoring’s mission is to innovate and scale free online tutoring for families who cannot afford private tutoring.,SuccessMaker is a learning program that functions much like a personal tutor for students. It has a reading and a math component. Your school could be using reading or math or both.,Tutoring Program,,,,https://www.time4learning.com/learning-successmaker.shtml,,1967,"Math, Reading",,"Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade",,,,,Virtual,,,,,,,,,"During School, Out of School",,,,,,,,,"School, Student",,,
Tutor Matching Service (Clemson),,To help in-need middle school students love math and build confidence through tutoring and mentorship.,"Online tutor list/marketplace that allows sutdents to identify tutors for both online and in person tutoring sessions, facilitates scheduling, booking, and payments.",Tutoring Program,,,,https://www.clemson.edu/asc/courses/private-tutoring.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tutorfly,,,"Online software that serves as tutor list/marketplace/lesson space for tutors, connects specifically with college students.",Tutoring Program,,,,https://www.tutorfly.org/,,,"English Language Arts (ELA), Early Literacy, Math, Reading, Science, Social Studies, Other",All,"Pre-Kindergarten, Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade, 9th Grade, 10th Grade, 11th Grade, 12th Grade",,,,,Virtual,,,,,,,1:01,,,,,,,,,,,,,,
Tutormundi,,,Online tutoring platform matching university tutors with high school students for homework help.,"Tutoring Program, Technology Platform",,,,www.tutormundi.com,For Profit,,"English Language Arts (ELA), Early Literacy, Math, Reading, Science, Social Studies, Other",All,,,,,,Virtual,,,,,,,1:01,,Out of School,,,,,,,,,,,,
VIPKid,,,Native English-speaking tutors teach English to children in China using VIPKid curriculum and video platform.,Tutoring Program,,China,,www.vipkid.com,For Profit,,Other,English,,,,,,Virtual,,,,,,,1:01,,Out of School,,,,,,,,,,,,
Waterford Reading Academy,,,"Instructional software that guides students from “Learning to Read” to “Reading to Learn” in a single platform while supporting teachers, students, and parents.",Tutoring Program,,,,https://www.waterford.org/reading-academy/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wave Tutoring Festival,,"Wave Learning Festival is committed to combating educational inequity. We believe in a world where any student regardless of socioeconomic background has access to the resources they need to succeed in school, explore new interests, and ignite a love for learning. Wave's three key values are Educational Opportunity, Communication and Connection, and Creating a Sense of Childlike Wonder.
 ","Wave Learning Festival provides a variety of free educational resources. Our tutoring program features tutors from across the world hosting hour-long peer-to-peer tutoring sessions over Zoom throughout the week. We offer school partnerships of all kinds--schools are able to request the services and subjects they need most, including tutoring sessions dedicated to their students and special classes from our tutors.
 ","Tutoring Program, Other",Class Programs and Professional Speaker Events.,"Carlisle, MA","Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, Washington DC, West Virginia, Wisconsin, Wyoming, Virtual",https://www.wavelf.org/,Nonprofit,2020,"English Language Arts (ELA), Math, Science, Social Studies, Other","Economics, Computer Science, Psychology","3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade, 9th Grade, 10th Grade, 11th Grade, 12th Grade",English,,,,Virtual,,,,,,,,,,,,,,,,,,,,,
Wilson Fundations,,,"Wilson Foundations makes learning to read fun while laying the groundwork for life-long literacy. Students in grades K-3 receive a systematic program in critical foundational skills, Fundations serves as a prevention program to help reduce reading and spelling failure. It is integral to a Multi-tiered System of Supports (MTSS) or Response to Intervention (RTI) framework, providing research-based instruction in Tier 1 as well as early intervention (Tier 2) for students at risk for reading difficulties.",Tutoring Program,,Massachusetts,,https://www.wilsonlanguage.com/programs/fundations/,For Profit,1988,Reading,,"Kindergarten, 1st Grade, 2nd Grade, 3rd Grade",,,,,,,,,,,,,,,,,,,,,,,,,,
Yup,,"Empower every student to learn. App connects students with on-demand math tutoring, and Yup for Schools brings the app to students at scale.",Text messaging platform connecting K-12 students with math tutors for homework help.,"Tutoring Program, Technology Platform",,"San Francisco, CA",Virtual,www.yup.com,For Profit,,Math,,"Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade, 9th Grade, 10th Grade, 11th Grade, 12th Grade",English,,"Paraprofessional, Teacher, Tutoring Staff",,Virtual,,,,30,2 but varies,,1:01,,Out of School,,Yup family portal.,,,,,,,"Parent, School",,,","
